Westminster,Arson and Criminal Damage,1991,2146,2349,2266,2032,2226,2018,2247,2062
Tower Hamlets,Arson and Criminal Damage,2183,2277,2027,2066,2370,2333,1976,2224,2034
Islington,Burglary,2356,2052,2653,2736,2344,2369,2107,2414,2408
Ealing,Drug Offences,1606,1379,1662,1154,1413,1358,2245,2173,1902
Barking and Dagenham,Vehicle Offences,2002,2237,2714,2572,1867,2754,2301,2508,2756
Kensington and Chelsea,Theft,7907,6883,9080,7050,7704,7004,5300,9768,8641
Hammersmith and Fulham,Burglary,1448,1533,1860,1930,1570,1914,1460,1868,1519
Waltham Forest,Arson and Criminal Damage,1651,1896,1677,1619,1920,1905,1573,1928,1755
Wandsworth,Theft,6195,6619,6380,6180,6424,6458,5234,8030,7383
Kensington and Chelsea,Vehicle Offences,2295,2964,3756,2861,2466,3104,2523,2225,2047
Bromley,Arson and Criminal Damage,2195,2117,2000,2104,2215,2181,1715,2220,1960
Hounslow,Drug Offences,1515,1131,1695,1261,1097,1205,1711,1605,1501
Hackney,Theft,8132,9323,10528,8899,8503,10102,8466,10457,9561
Merton,Burglary,1680,1418,1587,1549,1427,1442,984,2031,1789
Redbridge,Drug Offences,1544,1031,1283,681,1275,741,1769,1947,1820
Redbridge,Theft,4187,4384,4813,4589,4099,4731,4405,4912,4455
Southwark,Arson and Criminal Damage,2413,2554,2114,2306,2518,2472,1948,2335,2343
Westminster,Theft,24800,23522,45142,31474,24850,27112,20141,34989,30391
Haringey,Drug Offences,1171,1564,1609,1338,1339,1356,1985,1543,1207
Merton,Miscellaneous Crimes Against Society,138,188,204,191,152,196,233,156,132
Richmond upon Thames,Miscellaneous Crimes Against Society,137,166,121,119,138,157,170,118,121
Brent,Drug Offences,2906,2127,1788,1773,1810,1700,2267,3434,3351
Harrow,Arson and Criminal Damage,1153,1160,1088,1043,1128,1093,964,1216,1119
Enfield,Theft,4935,4821,5253,5178,4657,5258,4253,4476,4482
Brent,Burglary,2641,2632,2662,3226,2701,2875,2127,3947,3093
Wandsworth,Arson and Criminal Damage,1729,1782,1625,1703,1883,1956,1548,2011,1798
Barking and Dagenham,Theft,3268,3398,3565,3254,3304,3564,3087,3682,3387
Tower Hamlets,Drug Offences,2195,1684,2487,2126,1814,1490,2960,3261,3027
Croydon,Miscellaneous Crimes Against Society,314,451,466,454,414,425,493,290,278
Islington,Theft,8868,9666,10551,9216,9990,12638,7447,11139,9905
Barnet,Miscellaneous Crimes Against Society,289,344,361,375,307,269,348,281,314
Havering,Arson and Criminal Damage,1520,1739,1327,1433,1612,1764,1133,1569,1461
Harrow,Theft,2503,2978,3490,3023,2814,2639,2356,2602,2423
Camden,Drug Offences,1928,1516,1918,1339,1681,1338,2118,2334,2190
Hounslow,Miscellaneous Crimes Against Society,346,521,429,507,375,526,450,288,231
Hackney,Vehicle Offences,2361,2503,3614,3441,2619,3183,3187,2940,2670
Camden,Arson and Criminal Damage,1638,1910,1648,1679,1870,1850,1474,1846,1566
Tower Hamlets,Miscellaneous Crimes Against Society,252,462,372,387,305,402,440,229,248
Kingston upon Thames,Drug Offences,750,747,858,423,901,585,1125,419,588
Ealing,Theft,6027,6698,6041,5968,6217,6260,4793,7291,6686
Greenwich,Theft,4963,5311,5597,5291,4857,5433,4240,5592,4964
Waltham Forest,Miscellaneous Crimes Against Society,266,346,295,298,267,244,342,209,270
Kingston upon Thames,Arson and Criminal Damage,959,1037,928,913,999,970,728,1074,936
Barnet,Arson and Criminal Damage,2047,2117,2079,1895,2182,2049,1900,1970,1834
Southwark,Burglary,2841,2947,3253,3049,2991,3331,2539,3291,3477
Havering,Drug Offences,753,727,739,532,707,518,1180,1051,1012
Enfield,Burglary,3048,2539,3215,2968,2810,2621,2456,3726,3461
Sutton,Miscellaneous Crimes Against Society,96,165,175,169,132,180,213,104,87
Croydon,Theft,6684,5981,5919,5768,6277,5660,4603,7669,6695
Merton,Drug Offences,561,468,703,487,476,603,1019,845,641
Waltham Forest,Vehicle Offences,2634,2522,4282,3796,2652,3389,3742,4078,3812
Sutton,Drug Offences,456,476,571,353,500,408,791,557,480
Merton,Fraud and Forgery,0,0,0,0,0,0,0,509,48
Ealing,Possession of Weapons,143,185,254,212,156,251,233,124,128
Greenwich,Public Order Offences,1136,1673,1724,1588,1464,1710,1907,852,880
Lewisham,Sexual Offences,497,634,649,665,539,640,706,394,410
Lambeth,Public Order Offences,1825,1975,2129,1922,2173,2057,2352,1179,1237
Brent,Sexual Offences,444,538,653,633,485,621,593,347,323
Lambeth,Violence Against the Person,7190,8447,9032,8561,8331,8544,8686,5795,5649
Haringey,Violence Against the Person,5285,6996,7447,7720,6314,7431,7413,4219,3920
Kensington and Chelsea,Possession of Weapons,55,197,127,181,152,182,139,75,60
Barnet,Possession of Weapons,101,152,168,182,110,191,166,84,97
Enfield,Sexual Offences,413,524,612,592,438,563,652,281,323
Harrow,Sexual Offences,236,273,330,294,244,320,308,168,202
Newham,Sexual Offences,544,607,777,817,709,748,715,343,429
Hounslow,Violence Against the Person,4947,6083,7558,7119,5914,6568,7740,4564,4264
Harrow,Possession of Weapons,63,64,92,100,82,117,112,61,58
Wandsworth,Public Order Offences,982,1359,1641,1510,1379,1444,1730,802,738
Barnet,Sexual Offences,375,491,535,534,407,577,544,272,324
Newham,Possession of Weapons,187,304,355,380,240,437,337,176,201
Sutton,Fraud and Forgery,0,0,0,0,0,0,0,283,24
Merton,Sexual Offences,200,286,334,348,252,358,319,153,196
Brent,Possession of Weapons,161,257,280,289,193,285,268,150,174
Haringey,Possession of Weapons,130,244,292,341,202,318,274,139,125
Ealing,Public Order Offences,1389,1769,1930,1853,1778,1924,2137,1209,1195
Lambeth,Fraud and Forgery,0,0,0,0,0,0,0,1003,99
Hounslow,Fraud and Forgery,0,0,0,0,0,0,0,839,56
Barking and Dagenham,Possession of Weapons,68,155,156,198,92,162,194,82,75
Croydon,Sexual Offences,579,757,890,844,648,796,856,441,469
Bromley,Sexual Offences,349,457,570,529,387,499,502,219,268
Kensington and Chelsea,Fraud and Forgery,0,0,0,0,0,0,0,905,96
Hounslow,Sexual Offences,439,513,524,583,476,506,499,288,307
Hackney,Sexual Offences,482,646,695,725,567,731,695,355,353
Bromley,Violence Against the Person,4492,5359,6486,5934,5282,5894,6392,3492,3485
Haringey,Public Order Offences,1092,1658,1687,1651,1281,1787,1760,584,607
Southwark,Public Order Offences,1473,1755,2059,1881,1656,1910,2102,1075,1128
Waltham Forest,Public Order Offences,1059,1303,1235,1263,1225,1283,1431,714,799
Kingston upon Thames,Fraud and Forgery,0,0,0,0,0,0,0,340,27
Camden,Violence Against the Person,4604,6003,6597,6862,5737,6499,6379,4147,3701
Islington,Possession of Weapons,166,210,251,237,168,266,190,146,129
Islington,Sexual Offences,373,482,603,555,447,618,466,280,287
Richmond upon Thames,Sexual Offences,191,265,275,266,217,329,280,150,120
